,title,keywords,abstract,label,freq,docID
0,Emotion Explained,Brain; Consciousness; Decision-making; Emotion; Hunger; Pleasure; Reward; Sexual behaviour,"The book links the analysis of the brain mechanisms of emotion and motivation to the wider context of what emotions are, what their functions are, how emotions evolved, and the larger issue of why emotional and motivational feelings and consciousness might arise in a system organized like the brain. The topics in motivation covered are hunger, thirst, sexual behaviour, brain-stimulation reward, and addiction. The book proposes a theory of what emotions are, and an evolutionary, Darwinian, theory of the adaptive value of emotion, and then describes the brain mechanisms of emotion. The book examines how cognitive states can influence emotions, and in turn, how emotions can influence cognitive states. The book also examines emotion and decision-making, with links to the burgeoning field of neuroeconomics. The book describes the brain mechanisms that underlie both emotion and motivation in a scientific form that can be used by both students and scientists in the fields of neuroscience, psychology, cognitive neuroscience, biology, physiology, psychiatry, and medicine. {\copyright} Edmund T Rolls, 2005. All rights reserved.",0,141,1
1,Assessing the bug-prediction with re-usability based package organization for object oriented software systems,Fault-proneness prediction; Package reuse; Software quality,"Packages are re-usable components for faster and effective software maintenance. To promote the re-use in object-oriented systems and maintenance tasks easier, packages should be organized to depict compact design. Therefore, understanding and assessing package organization is primordial for maintenance tasks like Re-usability and Changeability. We believe that additional investigations of prevalent basic design principles such as defined by R.C. Martin are required to explore different aspects of package organization. In this study, we propose package-organization framework based on reachable components that measures re-usability index. Package re-usability index measures common effect of change taking place over dependent elements of a package in an object-oriented design paradigm. A detailed quality assessment on different versions of open source software systems is presented which evaluates capability of the proposed package re-usability index and other traditional package-level metrics to predict fault-proneness in software. The experimental study shows that proposed index captures different aspects of package-design which can be practically integrated with best practices of software development. Furthermore, the results provide insights on organization of feasible software design to counter potential faults appearing due to complex package dependencies. {\copyright} 2017 The Institute of Electronics, Information and Communication Engineers.",0,141,2
2,Prediction of change-prone classes using machine learning and statistical techniques,,"For software development, availability of resources is limited, thereby necessitating efficient and effective utilization of resources. This can be achieved through prediction of key attributes, which affect software quality such as fault proneness, change proneness, effort, maintainability, etc. The primary aim of this chapter is to investigate the relationship between object-oriented metrics and change proneness. Predicting the classes that are prone to changes can help in maintenance and testing. Developers can focus on the classes that are more change prone by appropriately allocating resources. This will help in reducing costs associated with software maintenance activities. The authors have constructed models to predict change proneness using various machine-learning methods and one statistical method. They have evaluated and compared the performance of these methods. The proposed models are validated using open source software, Frinika, and the results are evaluated using Receiver Operating Characteristic (ROC) analysis. The study shows that machine-learning methods are more efficient than regression techniques. Among the machine-learning methods, boosting technique (i.e. Logitboost) outperformed all the other models. Thus, the authors conclude that the developed models can be used to predict the change proneness of classes, leading to improved software quality. {\copyright} 2017 by IGI Global. All rights reserved.",0,141,3
3,Primate behavioral ecology: Fifth edition,,"This comprehensive introductory text integrates evolutionary, ecological, and demographic perspectives with new results from field studies and contemporary noninvasive molecular and hormonal techniques to understand how different primates behave and the significance of these insights for primate conservation. Each chapter is organized around the major research themes in the field, with Strier emphasizing the interplay between theory, observations, and conservation issues. Examples are drawn from the ""classic"" primate field studies as well as more recent studies on previously neglected species, illustrating the vast behavioral variation that exists across the primate order. Primate Behavioral Ecology 5th Edition also examines how anthropogenic activities are negatively impacting primate populations, including a thorough analysis of behavioural plasticity and its implications. This fully updated new edition incorporates exciting new discoveries and the most up-to-date approaches in the field to provide an invaluable overview of the field of primate behavioral ecology and its applications to primate conservation. It is considered to be a ""must read"" for all students interested in primates. {\copyright} 2017, 2011, 2007, 2003, 2000 K. B. Strier. All rights reserved.",0,141,4
4,Feature subset selection for instance filtering methods on cross-project defect prediction,Code metrics; Cross-project defect prediction; Feature selection; Instance filtering; Network metrics; Software quality assurance,"The defect prediction models can be a good tool on organizing the project's test resources. However, not all companies maintain an appropriate set of historical defect data. In this case, the companies can build an appropriate dataset from known external projects. This approach, called Cross-project Defect Prediction (CPDP), solves the lack of defect data, although introduces heterogeneity on data. This heterogeneity can compromises the performance of CPDP models. Recently, filtering methods were proposed in order to decrease the heterogeneity of data by selecting the most similar instances from the training dataset. This similarity between instances is calculated based on the available features of the dataset. On this study, we propose that using only the most relevant features on this calculation can result in more accurate filtered datasets and better prediction performances. We present an empirical evaluation of different methods used for selecting the most relevant features. We evaluate different configurations of four Feature Selection (FS) methods and two metric subsets. We used 36 versions of 11 open source projects on experiments. The results indicate that the defect prediction performance can be improved by using the evaluated approach. In addition, we investigated which methods present better performances. The results do not indicate a method with general better performances, i.e., the most appropriate method for a project can vary according to the project characteristics.",0,141,5
5,Social Science Methods for Psychodynamic Inquiry: The Unconscious on the World Scene,,"This book explains, with case examples, a variety of social science research methods suitable for studying the unconscious components of such irrational social and political actions in world affairs. {\copyright} William R. Meyers 2015. All rights reserved.",0,141,6
6,The prediction of code clone quality based on bayesian network,Bayesian network; Code clone; Prediction; Quality model; Reconstruct,"This paper researched on the quality of code clone in the software, evaluated the code clone quality of the current versions. Then using Bayesian network to train the existing sample data to get the prediction model of code clone that is able to predict the quality. The prediction results are able to help developers decide which code clone should be reconstructed or efficiently reused. The experiment shows that the method can be used to predict the quality of code clone in software more accurately. {\copyright} 2016 SERSC.",0,141,7
7,A novel framework for integrating data mining techniques to software development phases,Code optimization; Defect prediction and classification; Software development process; Software effort estimation; Software reuse,"In software development process, phases such as development effort estimation, code optimization, source code defect detection and software reuse are very important in order to improve the productivity and quality of the software. Software repository data produced in each phases have increased as component of software development process and new data analysis techniques have emerged in order to optimize the software development process. There is a gap between the software project management practices and the need of valuable data from software repository. To overcome this gap, a novel integrated framework is proposed, which integrates data mining techniques to extract valuable information from software repository and software metrics are used in different phases of software development process. Integrated framework can be used by software development project managers to improve quality of software and reduce time in predicting effort estimation, optimizing source code, defect detection and classification. {\copyright} Springer India 2016.",0,141,8
8,Measuring the utility of functional-based software using centroid-adjusted class labelling,Functional programming; Java lambda; Pattern classification; Software engineering; Software metrics; Software utility,"The functional programming paradigm involves stateless computation on immutable data constructs. While this paradigm's historical context dates back to the early twentieth century with lambda calculus and a formal study of computability and function definition, there has been a resurgence in functional programming, especially in the area of predictive analytics. New, purely functional, languages have recently emerged, and functional extensions have been added to several popular programming languages. It is sometimes difficult to estimate the overall utility and extensibility of functional programming software components. At the same time, many software metrics exist that attempt to quantify various qualitative attributes of software components. Here, we use a computational intelligence strategy that uses a set of software metrics to predict the qualitative utility of a software system's underlying components. Centroid-adjusted class labelling is a pattern classification preprocessing method that compensates for the possible imprecision of an established external reference test (gold standard) by adjusting, when necessary, design pattern class labels while maintaining the reference test's discriminatory power. The adjusted design labels incorporate within-class centroid information using robust measures of location and dispersion. This method is applied to a biomedical data analysis software system written in a functional programming style. It is shown that significant improvement to the discriminatory power of the classifier is obtained when using this preprocessing method. {\copyright} Springer International Publishing Switzerland 2016.",0,141,9
9,Visualizing Time-based Weighted Coupling Using Particle Swarm Optimization to Aid Program Comprehension,association mining; logical coupling; particle swarm optimization; program comprehension; source code visualization,"By knowing software coupling, developers can get better view of the software quality and improve their productivity in development and maintenance. This paper presents a method to visualize coupling network that are often very complex, using heuristic approach based on particle swarming optimization. Each node is placed randomly and assigned with initial speed. Node that are coupled together will be attracted each other and trying to get closer until they reach a particular distance. This distance is determined from the coupling value of two nodes. A closely related nodes will move closer until reaching a short distance. On each iteration, node position is dynamically updated based on attraction and repulsive force around them. Thus, gradually forming a near best solution of logical coupling graph. The coupling values are measured by mining the association rule from changes history. A software development project sometimes can be very active, updates happen within minutes. Sometimes it becomes slow with weekly or even monthly updates. Time-based weighted analysis method was used to accommodate these time sensitive situations. A co-change in a short duration will be weighted more than co-changes that happen in longer duration. {\copyright} 2015 The Authors.",0,141,10
10,Programming biology: Expanding the toolset for the engineering of transcription,,"Transcription is a complex and dynamic process representing the first step in gene expression that can be readily controlled through current tools in molecular biology. Elucidating and subsequently controlling transcriptional processes in various prokaryotic and eukaryotic organisms have been a key element in translational research, yielding a variety of new opportunities for scientists and engineers. This chapter aims to give an overview of how the fields of molecular and synthetic biology have contributed both historically and presently to the state of the art in transcriptional engineering. The described tools and techniques, as well as the emerging genetic circuit engineering discipline, open the door to new advances in the fields of medical and industrial biotechnology. {\copyright} Springer International Publishing Switzerland 2016.",0,141,11
